Year,Coefficient
1950,0.286
1951,0.25
1952,0.25
1953,0.111
1954,0.111
1955,0.286
1956,0.375
1957,0.125
1958,0.273
1959,0.111
1960,0.2
1961,0.375
1962,0.111
1963,0.3
1964,0.3
1965,0.2
1966,0.333
1967,0.182
1968,0.167
1969,0.091
1970,0.231
1971,0.182
1972,0.25
1973,0.133
1974,0.267
1975,0.143
1976,0.125
1977,0.176
1978,0.188
1979,0.2
1980,0.214
1981,0.2
1982,0.25
1983,0.2
1984,0.125
1985,0.188
1986,0.25
1987,0.25
1988,0.125
1989,0.188
1990,0.125
1991,0.062
1992,0.062
1993,0.125
1994,0.062
1995,0.118
1996,0.062
1997,0.176
1998,0.062
1999,0.188
2000,0.118
2001,0.059
2002,0.059
2003,0.188
2004,0.056
2005,0.105
2006,0.111
2007,0.176
2008,0.222
2009,0.059
2010,0.316
2011,0.053
2012,0.2
2013,0.105
2014,0.105
2015,0.053
2016,0.095
2017,0.1
2018,0.095
2019,0.095
2020,0.118
